eu rejects german call to boycott british lamb .|||B-ORG O B-MISC O O O B-MISC O O
tin ( grade a ) 6.5-8.5 cents / pound|||O O O O O O O O O
( low lead , 50 ppm ) 9.0-10.5 cents / pound|||O O O O O O O O O O O
nickel ( melting grade ) 9.0-12.0 cents / pound|||O O O O O O O O O
copper ( high grade cathode ) 2.50-3.0 cents / pound|||O O O O O O O O O O
--|||O
aluminum alloy ( a380 grade ) , midwest|||O O O O O O O B-LOC
and east coast , delivered to consumer 65-66 cents / pound|||O B-LOC I-LOC O O O O O O O O
--|||O
aluminum scrap , midwest and east coast average price ,|||O O O B-LOC O B-LOC I-LOC O O O
delivered to consumer|||O O O
old sheet and cast metal 42 to 44 cents / pound|||O O O O O O O O O O O
turnings , clean and dry 43 to 44 cents / pound|||O O O O O O O O O O O
mixed low-copper clips 48 to 49 cents / pound|||O O O O O O O O O
--|||O
copper scrap , midwest and east coast average price ,|||O O O B-LOC O B-LOC I-LOC O O O
delivered to consumer|||O O O
no2 refined 75 to 77 cents / pound|||O O O O O O O O
no1 bare bright 91 to 92 cents / pound|||O O O O O O O O O
no1 burnt 87 to 90 cents / pound|||O O O O O O O O
--|||O
lead batteries , delivered consumer 4.5 to 6.0 cents / pound|||O O O O O O O O O O O
u.s. producer list / transaction prices|||B-LOC O O O O O
--|||O
alcan aluminum , u.s. midwest ( effective date : august 1 , 1996 )|||B-ORG O O B-LOC I-LOC O O O O O O O O O
p1020 ingot 75 cents / pound|||O O O O O O
extrusion billet 85 cents / pound|||O O O O O O
noranda aluminum , u.s. midwest ( effective date:august 1 , 1996 )|||B-ORG O O B-LOC I-LOC O O O O O O O
ingot 75 cents / pound|||O O O O O
extrusion billet 85 cents / pound|||O O O O O O
rsr pure lead price ( effective date : march 20 , 1996 )|||B-ORG O O O O O O O O O O O O
52 cents / pound|||O O O O
doe run pure lead price ( effective date : august 14 , 1996 )|||B-ORG I-ORG O O O O O O O O O O O O
50 cents / pound|||O O O O
asarco pure lead ( effective date : august 1 , 1996 )|||B-ORG O O O O O O O O O O O
premium over lme cash 7.5 cents / pound|||O O B-ORG O O O O O
-- ( new york commodities desk 212 859 1646 )|||O O B-LOC I-LOC O O O O O O
florida boy kills himself before starting new school .|||B-LOC O O O O O O O O
fort lauderdale , fla. 1996-08-26|||B-LOC I-LOC O B-LOC O
a 12-year-old florida boy hanged himself in his backyard just hours before he was due to start at a new school on monday , police said .|||O O B-LOC O O O O O O O O O O O O O O O O O O O O O O O O
samuel graham , who told his family earlier that he was nervous about starting at a new school because he feared teasing about his weight problem , had been due to spend his first day at parkway middle school monday , police said .|||B-PER I-PER O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-ORG I-ORG I-ORG O O O O O
the boy was last seen alive sunday night when he joined his two younger brothers and father in a bedtime prayer .|||O O O O O O O O O O O O O O O O O O O O O O
two younger brothers found him hanging from a tree early monday morning .|||O O O O O O O O O O O O O
his father cut him down and tried to revive him but paramedics pronounced him dead when they arrived .|||O O O O O O O O O O O O O O O O O O O
the broward county sheriff 's office found a step stool and a flashlight under the tree where the boy was hanged .|||O B-ORG I-ORG I-ORG I-ORG I-ORG O O O O O O O O O O O O O O O O
they said there was no sign of foul play and that investigators believed the death was a suicide .|||O O O O O O O O O O O O O O O O O O O
cbot rice closes higher on technical bounce .|||O O O O O O O O
chicago 1996-08-26|||B-LOC O
cbot rice futures closed higher on a technical bounce tied to signs the market was oversold , traders said .|||O O O O O O O O O O O O O O O O O O O O
" it rallied on ideas the market was oversold , " a trader said .|||O O O O O O O O O O O O O O O
traders said the u.s. cash market remains well above the benchmark thai price which limited gains .|||O O O B-LOC O O O O O O O B-MISC O O O O O
rice futures volume was estimated at 450 contracts , up from 202 friday .|||O O O O O O O O O O O O O O
rice options volume was estimated at 50 contracts , down from 56 friday .|||O O O O O O O O O O O O O O
rice futures closed 13 to 16 cents per cwt higher , with september up 16 at $ 10.28 a cwt .|||O O O O O O O O O O O O O O O O O O O O O
sam nelson 312-408-8721|||B-PER I-PER O
talbott to meet russian , canadian counterparts .|||B-PER O O B-MISC O B-MISC O O
washington 1996-08-26|||B-LOC O
deputy secretary of state strobe talbott flew to ottawa on monday to meet his russian counterpart and discuss a range of bilateral and european security issues , the state department said .|||O O O O B-PER I-PER O O B-LOC O O O O O B-MISC O O O O O O O O B-MISC O O O O B-ORG I-ORG O O
talbott , the second-ranking state department official , was to meet russian deputy foreign minister georgy mamedov as part of a regular pattern of consultations , the department said .|||B-PER O O O B-ORG I-ORG O O O O O B-MISC O O O B-PER I-PER O O O O O O O O O O O O O
" there is much to discuss on the fall calendar , " acting chief spokesman glyn davies said . "|||O O O O O O O O O O O O O O O B-PER I-PER O O O
there 's a fairly intensive diplomatic calendar coming up in the fall . "|||O O O O O O O O O O O O O O
he said talbott , who was scheduled to return on tuesday , would also to meet his canadian counterpart , gordon smith , in ottawa for talks that would include the situation in haiti .|||O O B-PER O O O O O O O O O O O O O O B-MISC O O B-PER I-PER O O B-LOC O O O O O O O O B-LOC O
u.s. midwest hog market seen steady tuesday - trade .|||B-LOC I-LOC O O O O O O O O
chicago 1996-08-26|||B-LOC O
midwest direct cash hog prices tuesday were seen steady following strong demand monday that lifted prices as much as $ 1.50 per cwt in some areas , livestock dealers said .|||B-LOC O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
the demand was sparked by saturday 's active slaughter , which left some packers short on supplies to get monday operations started , they said .|||O O O O O O O O O O O O O O O O O O O O O O O O O O
top prices in iowa / southern minnesota tuesday were expected to range from mostly $ 59.50 to $ 60.00 , steady following a $ 0.50 - $ 1.50 jump monday .|||O O O B-LOC O O B-LOC O O O O O O O O O O O O O O O O O O O O O O O O
illinois tops were seen matching monday 's at $ 59.00 with tops in indiana at $ 57.50 .|||B-LOC O O O O O O O O O O O O B-LOC O O O O
however , usda reported tops of $ 58.00 in illinois and in iowa / southern minnesota , $ 60.00 on some hogs monday .|||O O B-ORG O O O O O O B-LOC O O B-LOC O O B-LOC O O O O O O O O
attempts to move prices higher again tuesday could be offset by expected increased hog marketings this week , sources said .|||O O O O O O O O O O O O O O O O O O O O O
producers were expected to ship as many hogs as they can ahead of the labor day holiday weekend , they said .|||O O O O O O O O O O O O O O B-MISC I-MISC O O O O O O
demand for hogs is expected to be light by the end of the week , as the industry prepares for labor day , monday , september 1 when most u.s. packers will be closed .|||O O O O O O O O O O O O O O O O O O O O B-MISC I-MISC O O O O O O O B-LOC O O O O O
-- bob janis 312-983-7347--|||O B-PER I-PER O
gore presents new image of lead attack dog .|||B-PER O O O O O O O O
michael posner|||B-PER I-PER
chicago 1996-08-26|||B-LOC O
no more mild-mannered and meek al gore , the vice president and likely heir apparent to president bill clinton , emerged on monday as the new democratic attack dog leading a front-line assault on bob dole and house speaker newt gingrich .|||O O O O O B-PER I-PER O O O O O O O O O O B-PER I-PER O O O O O O O B-MISC O O O O O O O B-PER I-PER O B-ORG O B-PER I-PER O
while clinton takes a train trip to the democratic convention that will renominate him on wednesday for a second term , gore is the bright star in the convention city now .|||O B-PER O O O O O O B-MISC I-MISC O O O O O O O O O O O B-PER O O O O O O O O O O
crowds anxiously wait for his appearances , thrusting out hands for him to grip as they scream " 12 more years " -- a wishful hope to eight years of gore after a clinton re-election .|||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-PER O O B-PER O O
over a 15-hour span from sunday evening to monday morning , so many people jammed gore events that the fire marshal stopped members of congress , reporters and others from entering a pro-israel rally and a meeting of the new york delegation .|||O O O O O O O O O O O O O O O B-PER O O O O O O O O B-ORG O O O O O O O B-MISC O O O O O O B-LOC I-LOC O O
in his appearances , the often stiff and wooden gore seemed transformed into a new energetic , gesturing " pol " as he ripped into republican presidential nominee dole and gingrich , who has emerged as the favorite right-wing foil of democrats .|||O O O O O O O O O B-PER O O O O O O O O O O O O O O O B-MISC O O B-PER O B-PER O O O O O O O O O O B-MISC O
gore told a roaring labor rally of about 1,000 union workers that dole and gingrich were the virtual personifaction of evil , without even mentioning that former housing secretary jack kemp is dole 's running mate .|||B-PER O O O O O O O O O O O B-PER O B-PER O O O O O O O O O O O O O O B-PER I-PER O B-PER O O O O
" with equal measures of ignorance and audacity this two-headed monster of dole and gingrich has been launching an all out assault on decades of progress of behalf of working men and women , " gore said to whoops of " 12 more years . "|||O O O O O O O O O O O O B-PER O B-PER O O O O O O O O O O O O O O O O O O O O B-PER O O O O O O O O O O
" they want to drive you out of politics and they ca n't , " he added . "|||O O O O O O O O O O O O O O O O O O O
they want to silence your voices in elections . "|||O O O O O O O O O O
at a downtown hotel monday , the 48-year-old gore gave wisconsin delegates a taste again of the new gore .|||O O O O O O O O B-PER O B-LOC O O O O O O O B-PER O
" i want you to ask this question .|||O O O O O O O O O
what would wisconsin face if the same extremist coalition , the gingrich / dole congress , also controlled the executive branch ? "|||O O B-LOC O O O O O O O O B-ORG I-ORG I-ORG I-ORG O O O O O O O O
gore said .|||B-PER O O
noting the next presidential term will probably see two or three supreme court justice nominations , he warned , " their extremist agenda would come out of the gingrich congress , into and through the dole white house , down through the supreme court . "|||O O O O O O O O O O O B-ORG I-ORG O O O O O O O O O O O O O O O B-ORG I-ORG O O O O O B-ORG I-ORG I-ORG O O O O B-ORG I-ORG O O
he painted a scene of horrors he saw if republicans controlled the white house and the congress they hold now . "|||O O O O O O O O O B-MISC O O B-LOC I-LOC O O B-ORG O O O O O
our personal and religious liberties would be at risk .|||O O O O O O O O O O
medicare would be at risk of withering on the vine .|||B-MISC O O O O O O O O O O
medicaid would be at risk of being taken away from poor children .|||B-MISC O O O O O O O O O O O O
education would be at risk .|||O O O O O O
the environment would be at risk from the polluters that control that coalition , " he said .|||O O O O O O O O O O O O O O O O O O
his new style mixed an assault on republicans with what he sees as " productive opportunity , a vision for the future that lifts up working families , that builds wisconsin stronger , that builds america stronger .|||O O O O O O O B-MISC O O O O O O O O O O O O O O O O O O O O O O B-LOC O O O O B-LOC O O
with your help we can re-elect bill clinton . "|||O O O O O O B-PER I-PER O O
dole 's tax cut plans were called " deja-voodoo economics .... it 's a warmed-over plan that failed and drove our economy into a ditch .|||B-PER O O O O O O O O O O O O O O O O O O O O O O O O O
we got burned once and we wo n't let that happen to our nation again . "|||O O O O O O O O O O O O O O O O O
gore ridiculed dole 's defense of the tobacco industry , praised clinton for " courage " in advancing regulations of it .|||B-PER O B-PER O O O O O O O O B-PER O O O O O O O O O O
to the delegates of wisconsin , a leading dairy state , gore had the right audience in poking fun at dole 's comparison to addiction to tobacco to those who ca n't tolerate milk .|||O O O O B-LOC O O O O O O B-PER O O O O O O O O B-PER O O O O O O O O O O O O O O
" some people say milk is bad for you , " gore said as wisconsin delegates held aloft a plastic inflated cow .|||O O O O O O O O O O O B-PER O O B-LOC O O O O O O O O
he praised clinton for vetoing the republican congress ' attempt to repeal parts of the clean air act , and criticized republicans for " slashing money to combat drugs in schools . "|||O O B-PER O O O B-MISC B-ORG O O O O O O O B-MISC I-MISC I-MISC O O O B-MISC O O O O O O O O O O O
" the choice has never been starker , the stakes today have never been higher , " gore said . "|||O O O O O O O O O O O O O O O O O B-PER O O O
we 're not going to let them get away with that . "|||O O O O O O O O O O O O O
actor reeve highlights democrats ' first night .|||O B-PER O B-MISC O O O O
chicago 1996-08-26|||B-LOC O
the highlights of the first day of the democratic convention on monday were expected to feature a mix of party leaders and people who have overcome adversity .|||O O O O O O O O B-MISC O O O O O O O O O O O O O O O O O O O
among the latter were gun control advocate sarah brady and actor christopher reeve and the politicians included rep .|||O O O O O O O B-PER I-PER O O B-PER I-PER O O O O B-MISC I-MISC
richard gephardt and sen .|||B-PER I-PER O O O
thomas daschle .|||B-PER I-PER O
here are thumbnail profiles of the convention 's key monday speakers .|||O O O O O O O O O O O O
sarah brady -- the nation 's toughest gun control law is named after ronald reagan 's press secretary james brady but it was his wife who was the major force behind its passage .|||B-PER I-PER O O O O O O O O O O O B-PER I-PER O O O B-PER I-PER O O O O O O O O O O O O O O
as head of handgun control inc. , sarah brady , 54 , campaigned nonstop for tough gun control in the years following the shooting of her husband and then president reagan in 1981 .|||O O O B-ORG I-ORG I-ORG O B-PER I-PER O O O O O O O O O O O O O O O O O O O O O B-PER O O O
her reward was the passage in 1993 of the " brady bill " which requires a mandatory five-day waiting period for purchase of handguns and also mandates background checks for would-be gun purchasers .|||O O O O O O O O O O B-MISC I-MISC O O O O O O O O O O O O O O O O O O O O O O
reagan recovered fully from his wounds but brady , who was close to death after being shot by john hinckley jr .|||B-PER O O O O O O B-PER O O O O O O O O O O B-PER I-PER I-PER O
, suffered serious brain damage .|||O O O O O O
sarah was brady 's second wife and they have a son , james scott brady jr .|||B-PER O B-PER O O O O O O O O O B-PER I-PER I-PER I-PER O
before the assassination attempt , she had worked for republican congressmen and for the republican party .|||O O O O O O O O O B-MISC O O O O B-ORG I-ORG O
christopher reeve -- reeve was best known for playing the comic book hero superman in four movies but his greatest heroics came in real life .|||B-PER I-PER O B-PER O O O O O O O O O B-PER O O O O O O O O O O O O
reeve , an accomplished rider who owned several horses , suffered multiple injuries including two shattered neck vertebrae when he was thrown from his horse at an equestrian event in culpepper , virginia , on may 27 , 1995 .|||B-PER O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-LOC O B-LOC O O O O O O O
almost entirely paralyzed , reeve underwent extensive surgery to fuse the vertebrae to the base of the skull and prevent any further damage to his spine .|||O O O O B-PER O O O O O O O O O O O O O O O O O O O O O O
that allowed him to be moved to a semi-upright position .|||O O O O O O O O O O O
over time he regained the power of speech , so much so that he was asked to address the opening night of the democratic national convention .|||O O O O O O O O O O O O O O O O O O O O O O O B-MISC I-MISC I-MISC O
reeve , 43 , was classically trained as an actor but became the prototypical handsome leading man .|||B-PER O O O O O O O O O O O O O O O O O
he performed in summer stock and soap operas before being plucked as an almost unknown to play the lead in " superman " and three sequels .|||O O O O O O O O O O O O O O O O O O O O O B-PER O O O O O
richard gephardt -- gephardt , house democratic leader , is a politician with a " mr clean " reputation who sought the presidency eight years ago and is widely believed to still have ambitions for the job .|||B-PER I-PER O B-PER O B-ORG B-MISC O O O O O O O O B-PER I-PER O O O O O O O O O O O O O O O O O O O O O
gephardt , 55 , the son of a milkman from a working class district of st. louis , is a consummate congressional insider , sufficiently skilled in compromise and the ways of the legislature to manage the often-unruly house democrats .|||B-PER O O O O O O O O O O O O O O B-LOC I-LOC O O O O O O O O O O O O O O O O O O O O O B-ORG B-MISC O
a former lawyer , he was in the front line of president bill clinton 's battle with the republican-led congress over the budget but has opposed the president 's decision to sign the republican-written welfare reform bill .|||O O O O O O O O O O O O B-PER I-PER O O O O B-MISC B-ORG O O O O O O O O O O O O O B-MISC O O O O
he advocated tough action against foreign countries to cut u.s. trade deficits but sometimes been out of step with the party 's liberal wing .|||O O O O O O O O O B-LOC O O O O O O O O O O O O O O O
he was an opponent of abortion until 1986 and voted for president ronald reagan 's big tax cut bill .|||O O O O O O O O O O O O B-PER I-PER O O O O O O
gephardt , a red-haired square-jawed man , is a less than fiery orator .|||B-PER O O O O O O O O O O O O O
his 1988 bid for the democratic nomination only took off after he recreated himself as a firebreathing reformer of the establishment , standing up for blue collar workers and farmers .|||O O O O O B-MISC O O O O O O O O O O O O O O O O O O O O O O O O O
tom daschle -- daschle , 48 , was largely unknown outside washington and his state of south dakota when he surprisingly beat more prominent rivals to become senate democratic leader after the party lost its majority to the republicans in 1994 .|||B-PER I-PER O B-PER O O O O O O O B-LOC O O O O B-LOC I-LOC O O O O O O O O O B-ORG B-MISC O O O O O O O O O B-MISC O O O
a mild-mannered and youthful man who rose rapidly after entering the senate in 1987 , he presented himself as a midwest moderate , as a democratic winner in a republican state able to unite senate factions .|||O O O O O O O O O O O B-ORG O O O O O O O O B-LOC O O O O B-MISC O O O B-MISC O O O O B-ORG O O
concern that he might be steamrollered by the vastly more experienced republican leader bob dole was dispelled when he showed a tough edge , outmaneuvering dole in a wrangle over scrapping a gas tax and raising the federal minimum wage .|||O O O O O O O O O O O B-MISC O B-PER I-PER O O O O O O O O O O B-PER O O O O O O O O O O O O O O O
in his early senate years he was seen as a " prairie populist " , working on legislation protecting farmers ' prices and also on compensating veterans sickened by agent orange defoliant spraying in the vietnam war .|||O O O B-ORG O O O O O O O O O O O O O O O O O O O O O O O O O B-MISC I-MISC O O O O B-MISC I-MISC O
daschle was a key player in president bill clinton 's failed attempt at sweeping healthcare changes but when he became minority leader he declared he would be no water-carrier for the white house .|||B-PER O O O O O O B-PER I-PER O O O O O O O O O O O O O O O O O O O O O O B-LOC I-LOC O
he has made clear he opposed clinton 's signing of the republican-initiated welfare reform bill .|||O O O O O O B-PER O O O O B-MISC O O O O
he has spent his adult life in politics , coming to congress as an aide in 1972 after three years in the air force and then being elected to the house of representatives himself in 1978 .|||O O O O O O O O O O O B-ORG O O O O O O O O O O B-ORG I-ORG O O O O O O B-ORG I-ORG I-ORG O O O O
u.s. boy , 13 , accused of murdering adoptive mother .|||B-LOC O O O O O O O O O O
dallas 1996-08-26|||B-LOC O
a 13-year-old dallas boy has been charged with murdering his adoptive mother over the weekend , police said on monday .|||O O B-LOC O O O O O O O O O O O O O O O O O O
margaret mccullough , 55 , was found dead in her home on saturday with gunshot wounds to the head .|||B-PER I-PER O O O O O O O O O O O O O O O O O O
police , who at first thought her son had been kidnapped , found him on sunday with a friend in his mother 's car in oklahoma and arrested him .|||O O O O O O O O O O O O O O O O O O O O O O O O O B-LOC O O O O
a shotgun and a .357 handgun were found in the car .|||O O O O O O O O O O O O
a police spokesman said the boy was being questioned . "|||O O O O O O O O O O O
they are talking to him now about the motive and everything else . "|||O O O O O O O O O O O O O O
mccullough had adopted the boy , who was the grandson of her late husband , shortly after his birth but neighbours said they often had loud arguments .|||B-PER O O O O O O O O O O O O O O O O O O O O O O O O O O O
pakistani bourse to use new recomposed index .|||B-MISC O O O O O O O
karachi , pakistan 1996-08-26|||B-LOC O B-LOC O
the karachi stock exchange ( kse ) said on monday it would introduce a new recomposed kse-100 index on september 10 .|||O B-ORG I-ORG I-ORG O B-ORG O O O O O O O O O O B-MISC O O O O O
a kse statement said the recomposed index would be more representative , capturing market capitalisation of 82.3 percent , up from 79.9 percent previously .|||O B-ORG O O O O O O O O O O O O O O O O O O O O O O O
-- karachi newsroom 9221-5685192|||O B-LOC O O
nwe oil products mixed , holiday dulls trade .|||O O O O O O O O O
london 1996-08-26|||B-LOC O
nwe oil products were mixed on monday but markets were becalmed because of a public holiday in the united kingdom , traders said .|||O O O O O O O O O O O O O O O O O O B-LOC I-LOC O O O O
an explosion at repsol 's puertollano refinery , which killed four workers , had not affected output of oil products , an official said .|||O O O B-ORG O B-LOC O O O O O O O O O O O O O O O O O O O
" the plant is functioning as usual , " jose manuel prieto , director of personnel , told spanish state television .|||O O O O O O O O O B-PER I-PER I-PER O O O O O O B-MISC O O O
gasoline prices were notionally unchanged from friday despite sagging nymex numbers , with the arbitrage window to the u.s. considered closed for the moment .|||O O O O O O O O O O O O O O O O O O B-LOC O O O O O O
eurograde barges were offered at $ 207 fob ara for amsterdam-rotterdam barrels , and at $ 206 for full ara material .|||O O O O O O O O O O B-LOC O O O O O O O O O O O
" there is no market at the moment , " one rotterdam trader said . "|||O O O O O O O O O O O B-LOC O O O O
maybe sentiment is a little bit weaker but prices have not changed . "|||O O O O O O O O O O O O O O
outright gas oil prices were notionally softer as the nymex heating oil contract headed lower , and following news that the indian oil corp ( ioc ) had issued a tender to buy only 120,000 tonnes of high speed diesel for october .|||O O O O O O O O O O O O O O O O O O O O O B-ORG I-ORG I-ORG O B-ORG O O O O O O O O O O O O O O O O O
asian traders had earlier expected an ioc tender for around 400,000 tonnes .|||B-MISC O O O O O B-ORG O O O O O O
ara gas oil barges were quiet although one trader said he had seen offers at $ 1 a tonne over september ipe for prompt barrels , while antwerp material was available for 0-50 cents over september .|||O O O O O O O O O O O O O O O O O O O O O O O O O O O B-LOC O O O O O O O O O
the ioc tender had " a bearish impact , but not a great impact , " one german player said .|||O B-ORG O O O O O O O O O O O O O O O B-MISC O O O
fuel oil markets were also listless .|||O O O O O O O
offers were around a dollar a tonne higher at $ 102 fob ara but bids were scarce .|||O O O O O O O O O O O O O O O O O O
-- nicholas shaxson , london newsroom +44 171 542 8167|||O B-PER I-PER O B-LOC O O O O O
prairies saw no frost monday , none rest of week .|||B-LOC O O O O O O O O O O
winnipeg 1996-08-26|||B-LOC O
canada 's prairies saw no frost on monday morning and none was expected anywhere on the grainbelt until late in the labour day long weekend , environment canada said .|||B-LOC O B-LOC O O O O O O O O O O O O O O O O O O B-MISC I-MISC O O O B-ORG I-ORG O O
" apparently , we 're home free for the rest of the week .|||O O O O O O O O O O O O O O
we 're not calling for any frost until after the weekend when it starts to cool off in northwestern alberta after the weekend probably monday or tuesday , " meteorologist gerald machnee told reuters .|||O O O O O O O O O O O O O O O O O O O B-LOC O O O O O O O O O O B-PER I-PER O B-ORG O
sprague , manitoba , on the minnesota border was the cold spot of the prairies monday morning at 4.0 celsius ( 39.2 f ) .|||B-LOC O B-LOC O O O B-LOC O O O O O O O B-LOC O O O O B-MISC O O B-MISC O O
temperatures at ground level can be 2.0 to 5.0 celsius lower than at chest level depending on windspeed , sky conditions and ground surface moisture .|||O O O O O O O O O B-MISC O O O O O O O O O O O O O O O O
freezing occurs at 0 celsius ( 32.0 f ) .|||O O O O B-MISC O O B-MISC O O
north battleford , sask .|||B-LOC I-LOC O B-LOC O
, reported a low of 5.0 celsius ( 41.0 f ) and grande prairie , alta .|||O O O O O O B-MISC O O B-MISC O O B-LOC I-LOC O B-LOC O
, in the peace river valley reported 7.0 celsius ( 44.6 f ) .|||O O O B-LOC I-LOC I-LOC O O B-MISC O O B-MISC O O
machnee dismissed talk of frost wednesday by proponents of the " full moon , frost soon " school of thought .|||B-PER O O O O O O O O O O O O O O O O O O O O
lows on august 28 across the prairies should range from 8.0 to 12.0 celsius with highs around 30.0 celsius .|||O O O O O O B-LOC O O O O O O B-MISC O O O O B-MISC O
-- gilbert le gras 204 947 3548|||O B-PER I-PER I-PER O O O
brush wellman comments on beryllium lawsuits .|||B-ORG I-ORG O O O O O
cleveland 1996-08-26|||B-LOC O
brush wellman inc said monday that 10 of 24 lawsuits involving chronic beryllium disease have been dismissed since july 1 .|||B-ORG I-ORG I-ORG O O O O O O O O O O O O O O O O O O
the leading u.s. beryllium producer said in a conference call it has traditionally been pro-active regarding the workplace disease , a lung ailment which can affects a small percent of people whose immune systems are susceptible .|||O O B-LOC O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
of the 14 remaining suits , 10 were filed by employees of industrial brush wellman customers and brush wellman liability in such suits is typically covered by insurance , timothy reid , vice president of corporate communications , said on the call .|||O O O O O O O O O O O O O B-ORG I-ORG O O B-ORG I-ORG O O O O O O O O O O B-PER I-PER O O O O O O O O O O O O
the company was responding to an article in sunday 's new york times .|||O O O O O O O O O O B-ORG I-ORG I-ORG O
he said the article largely reiterated information about the suits and the disease which had previously been made public via securities and exchange commission filings and annual reports .|||O O O O O O O O O O O O O O O O O O O O B-ORG I-ORG I-ORG I-ORG O O O O O
" brush wellman has been a leader in dealing with health and safety issues ( related to chronic beryllium disease ) for nearly 50 years , " he said . "|||O B-ORG I-ORG O O O O O O O O O O O O O O O O O O O O O O O O O O O O
we have a record of going beyond regulatory requirements ... and we consistently share the most current information available ... with customers and employees . "|||O O O O O O O O O O O O O O O O O O O O O O O O O O
the customer employee suits were filed in 1990-95 , he said .|||O O O O O O O O O O O O
a class action filed by a former brush wellman employee in april 1996 was dismissed in july , he said .|||O O O O O O O B-ORG I-ORG O O O O O O O O O O O O
the company is " vigorously defending " the remaining four suits filed by former and current brush wellman employees , he said .|||O O O O O O O O O O O O O O O O B-ORG I-ORG O O O O O
after a delayed opening , the stock was off 1-1/2 to 18-7/8 .|||O O O O O O O O O O O O O
-- cleveland newsdesk 216-579-0077|||O B-ORG I-ORG O
salomon cuts refiner q3 eps view on margin concern .|||B-ORG O O O O O O O O O
new york 1996-08-26|||B-LOC I-LOC O
salomon brothers analyst paul ting said he cut his share earnings estimates on refiners for the third quarter on the belief the companies will face sharp revisions in refining and marketing margins .|||B-ORG I-ORG O B-PER I-PER O O O O O O O O O O O O O O O O O O O O O O O O O O O O
he cut his third-quarter share earnings estimate on :|||O O O O O O O O O
-- diamond shamrock inc to $ 0.38 from $ 0.73 versus the street 's consensus $ 0.63|||O B-ORG I-ORG I-ORG O O O O O O O O O O O O O
-- sun co to $ 0.15 from $ 0.85 versus the consensus $ 0.63|||O B-ORG I-ORG O O O O O O O O O O O
-- tosco corp to $ 0.95 from $ 1.03 versus the consensus $ 0.94|||O B-ORG I-ORG O O O O O O O O O O O
-- total petroleum ( north america ) ltd to $ 0.15 from $ 0.46 versus the consensus $ 0.33|||O B-ORG I-ORG I-ORG I-ORG I-ORG I-ORG I-ORG O O O O O O O O O O O
-- and , valero energy corp to $ 0.27 from $ 0.55 compared with the consensus $ 0.40 .|||O O O B-ORG I-ORG I-ORG O O O O O O O O O O O O O
presale - marion county board of education , w. va .|||O O B-ORG I-ORG I-ORG I-ORG I-ORG O B-LOC I-LOC O
amt : 3,250,000 date : 09/04/96 nyc time : 1200 cusip : 569399|||O O O O O O B-MISC I-MISC O O O O O
issuer : marion county board of education st : wv|||O O B-ORG I-ORG I-ORG I-ORG I-ORG O O O
issue : public school , series 1996 tax stat:exempt-ult|||O O O O O O O O O
m / sp / f : na / na / na book entry : y|||O O O O O O O O O O O O O O O
enhancements : none bank qual : y|||O O O O O O O
dtd : 09/01/96 sure bid : n|||O O O O O O O
due : 5/1/98-02 sr mgr :|||O O O O O O
1st cpn : 05/01/97|||O O O O
call : non-callable nic|||O O O O
delivery : 9/17/96 approx orders :|||O O O O O O
paying agent : wesbanco bank fairmont , fairmont|||O O O B-ORG I-ORG B-LOC O B-LOC
l.o. : steptoe & johnson , clarksburg|||O O B-ORG I-ORG I-ORG O B-LOC
f.a. : ferris , baker watts , inc. , charleston|||O O B-ORG I-ORG I-ORG I-ORG I-ORG I-ORG O B-LOC
last sale : $ 7,330,000 ( mbia ) 3/1/90 @ 6.14900 % nic ; 4yrs 4mos avg ; bbi-7.27 %|||O O O O O O O O O O O O O O O O O O O O
year amount coupon yield price conc .|||O O O O O O O
1998 575,000|||O O
1999 610,000|||O O
2000 650,000|||O O
2001 685,000|||O O
2002 730,000|||O O
competitive pre-sale contributed by j.j. kenny k-sheets :|||O O O O B-ORG I-ORG O O
balance - ohio refunding bonds at $ 290,000 .|||O O B-LOC O O O O O O
state of ohio|||B-LOC I-LOC I-LOC
re : $ 70,375,000|||O O O O
( ohio building authority )|||O B-ORG I-ORG I-ORG O
state facilities refunding bonds|||O O O O
1996 series a|||O O O
repricing of the balance of the bonds in the account .|||O O O O O O O O O O O
9,215,000.00|||O
ocasek government office building|||O O O O
( c )|||O O O
moody 's : a1 s&p : aa- fitch : aa-|||B-ORG I-ORG O O B-ORG O O O O O
confirmed confirmed|||O O
delivery date : 08/29/1996|||O O O O
maturity balance coupon list|||O O O O
10/01 / 1998c 125m 4.50 4.20|||O O O O O O
6,045,000.00|||O
vern riffe center|||O O O
( d )|||O O O
moody 's : a1 s&p : aa- fitch : aa-|||B-ORG I-ORG O O B-ORG O O O O O
confirmed confirmed|||O O
delivery date : 08/29/1996|||O O O O
maturity balance coupon list|||O O O O
10/01 / 1998d 165m 4.50 4.20|||O O O O O O
grand total : 290m|||O O O O
goldman , sachs & co .|||B-ORG I-ORG I-ORG I-ORG I-ORG O
a.g. edwards & sons , inc .|||B-ORG I-ORG I-ORG I-ORG I-ORG I-ORG O
banc one capital corporation|||B-ORG I-ORG I-ORG I-ORG
s.b.k- brooks investment corp .|||B-ORG I-ORG I-ORG I-ORG O
